Date,Open,High,Low,Close,Adj Close,Volume
2008-10-01,56.759998,58.000000,39.990002,52.419998,38.957127,253674300
2008-11-01,51.900002,54.650002,36.169998,42.630001,31.681459,177147000
2008-12-01,41.639999,43.689999,36.279999,42.669998,31.949532,158466000
2009-01-01,42.799999,47.000000,39.509998,42.310001,31.679972,139705400
2009-02-01,41.730000,43.669998,31.400000,31.440001,23.540964,152449700
2009-03-01,30.959999,38.680000,29.049999,35.580002,26.909348,227580100
2009-04-01,34.520000,41.740002,34.209999,40.049999,30.290028,158407900
2009-05-01,40.310001,45.840000,40.090000,44.849998,33.920296,119288100
2009-06-01,45.540001,53.389999,41.090000,42.500000,32.458920,203961900
2009-07-01,42.630001,44.500000,38.919998,42.910000,32.772053,157987100
2009-08-01,43.180000,52.529999,42.509998,49.669998,37.934917,150311700
2009-09-01,49.209999,55.480000,47.759998,54.150002,41.753582,109453100
2009-10-01,53.849998,53.900002,47.180000,47.799999,36.857277,126937300
2009-11-01,47.820000,53.000000,47.330002,52.410000,40.411911,83821900
2009-12-01,52.750000,56.560001,52.750000,54.130001,42.105820,103468100
2010-01-01,55.720001,63.400002,54.799999,60.599998,47.138615,130667600
2010-02-01,60.740002,64.470001,57.139999,63.160000,49.129940,108739500
2010-03-01,63.049999,74.529999,63.000000,72.610001,56.866360,163859800
2010-04-01,73.239998,76.000000,69.879997,72.430000,56.725388,117851900
2010-05-01,72.620003,74.699997,60.610001,64.180000,50.264194,152590100
2010-06-01,64.269997,69.339996,59.840000,62.750000,49.429462,141914900
2010-07-01,62.480000,69.750000,60.650002,68.139999,53.675282,110005400
2010-08-01,69.010002,70.000000,59.480000,61.130001,48.153339,99202500
2010-09-01,61.790001,67.970001,61.660000,66.540001,52.733421,97619100
2010-10-01,67.540001,72.489998,65.860001,70.639999,55.982685,97535100
2010-11-01,70.709999,71.889999,61.840000,63.770000,50.538170,150042600
2010-12-01,64.660004,67.389999,62.820000,65.260002,52.032192,103910300
2011-01-01,66.150002,72.989998,66.000000,69.480003,55.396816,128661800
2011-02-01,70.000000,74.290001,69.599998,72.010002,57.414009,91690200
2011-03-01,71.930000,74.470001,67.339996,73.930000,59.287296,119791900
2011-04-01,74.290001,80.339996,70.879997,79.779999,63.978626,95129600
2011-05-01,80.349998,80.650002,75.129997,78.029999,62.575245,87491500
2011-06-01,77.949997,78.099998,70.290001,73.930000,59.600388,103740100
2011-07-01,73.809998,76.199997,69.070000,70.470001,56.811028,106421300
2011-08-01,71.610001,71.629997,56.009998,66.860001,53.900753,194916400
2011-09-01,66.959999,67.730003,57.529999,60.509998,49.112423,124749900
2011-10-01,60.099998,68.760002,56.900002,65.790001,53.397896,127425600
2011-11-01,64.230003,68.970001,62.119999,68.690002,55.751648,114604000
2011-12-01,68.699997,74.739998,68.510002,73.349998,59.913517,116561100
2012-01-01,74.699997,76.699997,72.739998,74.180000,60.591457,103787200
2012-02-01,74.959999,76.739998,74.300003,74.949997,61.220417,84337600
2012-03-01,74.959999,75.809998,72.300003,74.370003,61.104168,89633300
2012-04-01,74.000000,77.570000,70.589996,76.800003,63.100746,85289300
2012-05-01,76.589996,77.830002,68.930000,69.610001,57.193260,88091800
2012-06-01,68.669998,74.370003,66.820000,74.300003,61.405003,88430100
2012-07-01,74.209999,75.959999,70.849998,73.910004,61.082695,86964700
2012-08-01,74.320000,74.690002,70.019997,71.400002,59.008312,85793400
2012-09-01,71.500000,73.269997,69.029999,69.599998,57.865658,103075800
2012-10-01,69.860001,75.000000,69.199997,70.440002,58.564045,92093600
2012-11-01,70.589996,74.860001,69.300003,74.279999,61.756622,101603600
2012-12-01,74.410004,76.559998,72.930000,75.360001,63.039642,90048100
2013-01-01,76.550003,78.019997,72.680000,73.870003,61.793282,191804200
2013-02-01,74.489998,77.930000,74.230003,76.900002,64.327904,101429400
2013-03-01,76.699997,86.839996,76.169998,85.849998,72.275993,105390300
2013-04-01,85.599998,93.379997,83.800003,91.410004,76.956894,106380800
2013-05-01,91.080002,101.470001,90.720001,99.019997,83.363640,111622200
2013-06-01,99.360001,104.150002,96.309998,102.440002,86.686440,99711500
2013-07-01,102.930000,109.489998,98.989998,105.099998,88.937370,152799000
2013-08-01,105.989998,107.949997,101.769997,103.919998,87.938850,79814700
2013-09-01,105.129997,120.379997,104.620003,117.500000,99.883018,89293700
2013-10-01,117.970001,131.880005,113.339996,130.500000,110.933914,102075200
2013-11-01,130.899994,142.000000,130.580002,134.250000,114.121658,88250600
2013-12-01,134.990005,138.880005,130.550003,136.490005,116.448639,78680000
2014-01-01,136.009995,144.570007,123.080002,125.260002,106.867577,113971400
2014-02-01,124.239998,130.940002,118.769997,128.919998,109.990181,119986800
2014-03-01,127.180000,131.000000,121.370003,125.489998,107.667679,97798400
2014-04-01,126.239998,131.500000,121.919998,129.020004,110.696327,77966900
2014-05-01,128.740005,135.440002,128.270004,135.250000,116.041550,61514500
2014-06-01,135.500000,138.389999,126.199997,127.230003,109.773079,78754100
2014-07-01,127.660004,130.580002,120.410004,120.480003,103.949211,111816600
2014-08-01,120.449997,129.130005,117.870003,126.800003,109.402069,79247500
2014-09-01,125.620003,129.869995,124.099998,127.379997,110.568077,75364300
2014-10-01,127.370003,128.000000,116.320000,124.910004,108.424072,107425800
2014-11-01,125.349998,135.779999,123.370003,134.360001,116.626846,72415400
2014-12-01,134.309998,134.399994,120.580002,129.979996,113.483238,96842100
2015-01-01,131.070007,148.250000,126.180000,145.369995,126.919975,109099900
2015-02-01,143.720001,158.830002,143.050003,150.850006,131.704498,92535100
2015-03-01,150.850006,156.910004,145.960007,150.080002,131.842651,81607600
2015-04-01,149.970001,155.500000,142.750000,143.339996,125.921646,84509000
2015-05-01,144.410004,148.300003,140.320007,140.520004,123.444359,79306200
2015-06-01,141.449997,146.529999,138.440002,138.720001,122.644028,70463300
2015-07-01,140.479996,149.179993,139.000000,144.169998,127.462425,70138100
2015-08-01,144.440002,146.770004,115.139999,130.679993,115.535774,92795600
2015-09-01,128.160004,139.910004,126.940002,130.949997,116.513123,81291700
2015-10-01,131.320007,149.600006,128.559998,148.070007,131.745712,92079800
2015-11-01,148.380005,150.589996,141.589996,145.449997,129.414505,52884600
2015-12-01,146.539993,149.800003,138.889999,144.589996,129.444794,79703200
2016-01-01,141.380005,141.699997,115.019997,120.129997,107.546867,135869300
2016-02-01,119.639999,124.910004,102.099998,118.180000,105.801117,153197300
2016-03-01,119.010002,136.779999,118.250000,126.940002,114.695175,107857100
2016-04-01,126.230003,137.889999,125.110001,134.800003,121.796989,96194200
2016-05-01,134.380005,135.240005,125.879997,126.150002,113.981384,82271600
2016-06-01,126.000000,134.550003,122.349998,129.869995,118.299690,102673100
2016-07-01,129.539993,139.449997,123.959999,133.660004,121.752045,76110800
2016-08-01,133.210007,136.369995,129.139999,129.449997,117.917107,61479300
2016-09-01,130.029999,133.080002,126.309998,131.740005,120.997566,71556000
2016-10-01,131.279999,146.229996,130.740005,142.429993,130.815887,80980500
2016-11-01,142.949997,153.080002,138.800003,150.559998,138.282913,73758100
2016-12-01,150.740005,160.070007,150.020004,155.679993,145.196411,63386600
2017-01-01,156.300003,170.000000,155.210007,163.419998,152.415222,73378000
2017-02-01,164.250000,181.929993,160.820007,180.229996,168.093201,67320300
2017-03-01,181.850006,185.710007,173.750000,176.860001,166.369003,71329400
